Id,Name,Type,Industry,Rating
001dM00000UlkHSQAZ,Edge Communications,Customer - Direct,Electronics,Hot
001dM00000UlkHTQAZ,Burlington Textiles Corp of America,Customer - Direct,Apparel,Warm
001dM00000UlkHUQAZ,Pyramid Construction Inc.,Customer - Channel,Construction,
001dM00000UlkHVQAZ,Dickenson plc,Customer - Channel,Consulting,
001dM00000UlkHWQAZ,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality,Warm
001dM00000UlkHXQAZ,United Oil & Gas Corp.,Customer - Direct,Energy,Hot
001dM00000UlkHYQAZ,Express Logistics and Transport,Customer - Channel,Transportation,Cold
001dM00000UlkHZQAZ,University of Arizona,Customer - Direct,Education,Warm
001dM00000UlkHaQAJ,"United Oil & Gas, UK",Customer - Direct,Energy,
001dM00000UlkHbQAJ,"United Oil & Gas, Singapore",Customer - Direct,Energy,
001dM00000UlkHcQAJ,GenePoint,Customer - Channel,Biotechnology,Cold
001dM00000UlkHdQAJ,sForce,,,
001dM00000UluMEQAZ,Sample Account for Entitlements,,,
001dM000023nnl0QAA,Dummy Account 401,Partner,Technology,Cold
001dM000023nnl1QAA,Dummy Account 402,Partner,Finance,Cold
001dM000023nnl2QAA,Dummy Account 403,Partner,Healthcare,Warm
001dM000023nnl3QAA,Dummy Account 404,Prospect,Retail,Hot
001dM000023nnl4QAA,Dummy Account 405,Prospect,Technology,Warm
001dM000023nnl5QAA,Dummy Account 406,Customer,Healthcare,Warm
001dM000023nnl6QAA,Dummy Account 407,Prospect,Finance,Hot
001dM000023nnl7QAA,Dummy Account 408,Customer,Finance,Warm
001dM000023nnl8QAA,Dummy Account 409,Customer,Healthcare,Warm
001dM000023nnl9QAA,Dummy Account 410,Prospect,Retail,Hot
001dM000023nnlAQAQ,Dummy Account 411,Prospect,Healthcare,Warm
001dM000023nnlBQAQ,Dummy Account 412,Customer,Technology,Warm
001dM000023nnlCQAQ,Dummy Account 413,Partner,Healthcare,Warm
001dM000023nnlDQAQ,Dummy Account 414,Customer,Finance,Warm
001dM000023nnlEQAQ,Dummy Account 415,Prospect,Technology,Cold
001dM000023nnlFQAQ,Dummy Account 416,Prospect,Healthcare,Hot
001dM000023nnlGQAQ,Dummy Account 417,Prospect,Retail,Cold
001dM000023nnlHQAQ,Dummy Account 418,Customer,Healthcare,Hot
001dM000023nnlIQAQ,Dummy Account 419,Prospect,Healthcare,Hot
001dM000023nnlJQAQ,Dummy Account 420,Partner,Finance,Hot
001dM000023nnlKQAQ,Dummy Account 421,Customer,Healthcare,Warm
001dM000023nnlLQAQ,Dummy Account 422,Customer,Technology,Cold
001dM000023nnlMQAQ,Dummy Account 423,Partner,Finance,Hot
001dM000023nnlNQAQ,Dummy Account 424,Prospect,Technology,Cold
001dM000023nnlOQAQ,Dummy Account 425,Prospect,Finance,Cold
001dM000023nnlPQAQ,Dummy Account 426,Prospect,Retail,Warm
001dM000023nnlQQAQ,Dummy Account 427,Prospect,Retail,Hot
001dM000023nnlRQAQ,Dummy Account 428,Partner,Healthcare,Warm
001dM000023nnlSQAQ,Dummy Account 429,Prospect,Technology,Cold
001dM000023nnlTQAQ,Dummy Account 430,Partner,Technology,Hot
001dM000023nnlUQAQ,Dummy Account 431,Customer,Healthcare,Warm
001dM000023nnlVQAQ,Dummy Account 432,Prospect,Technology,Warm
001dM000023nnlWQAQ,Dummy Account 433,Partner,Technology,Warm
001dM000023nnlXQAQ,Dummy Account 434,Partner,Healthcare,Warm
001dM000023nnlYQAQ,Dummy Account 435,Partner,Technology,Cold
001dM000023nnlZQAQ,Dummy Account 436,Prospect,Retail,Warm
001dM000023nnlaQAA,Dummy Account 437,Prospect,Retail,Hot
001dM000023nnlbQAA,Dummy Account 438,Customer,Technology,Warm
001dM000023nnlcQAA,Dummy Account 439,Partner,Finance,Warm
001dM000023nnldQAA,Dummy Account 440,Prospect,Retail,Hot
001dM000023nnleQAA,Dummy Account 441,Customer,Healthcare,Cold
001dM000023nnlfQAA,Dummy Account 442,Prospect,Finance,Hot
001dM000023nnlgQAA,Dummy Account 443,Prospect,Technology,Hot
001dM000023nnlhQAA,Dummy Account 444,Prospect,Retail,Cold
001dM000023nnliQAA,Dummy Account 445,Partner,Technology,Cold
001dM000023nnljQAA,Dummy Account 446,Prospect,Healthcare,Warm
001dM000023nnlkQAA,Dummy Account 447,Partner,Healthcare,Warm
001dM000023nnllQAA,Dummy Account 448,Customer,Finance,Hot
001dM000023nnlmQAA,Dummy Account 449,Customer,Retail,Hot
001dM000023nnlnQAA,Dummy Account 450,Prospect,Retail,Cold
001dM000023nnloQAA,Dummy Account 451,Prospect,Healthcare,Warm
001dM000023nnlpQAA,Dummy Account 452,Partner,Retail,Warm
001dM000023nnlqQAA,Dummy Account 453,Partner,Technology,Warm
001dM000023nnlrQAA,Dummy Account 454,Customer,Healthcare,Warm
001dM000023nnlsQAA,Dummy Account 455,Customer,Finance,Warm
001dM000023nnltQAA,Dummy Account 456,Partner,Healthcare,Cold
001dM000023nnluQAA,Dummy Account 457,Partner,Technology,Warm
001dM000023nnlvQAA,Dummy Account 458,Customer,Finance,Cold
001dM000023nnlwQAA,Dummy Account 459,Customer,Finance,Warm
001dM000023nnlxQAA,Dummy Account 460,Partner,Finance,Hot
001dM000023nnlyQAA,Dummy Account 461,Partner,Retail,Cold
001dM000023nnlzQAA,Dummy Account 462,Customer,Finance,Hot
001dM000023nnm0QAA,Dummy Account 463,Partner,Technology,Cold
001dM000023nnm1QAA,Dummy Account 464,Partner,Finance,Warm
001dM000023nnm2QAA,Dummy Account 465,Partner,Finance,Cold
001dM000023nnm3QAA,Dummy Account 466,Partner,Retail,Cold
001dM000023nnm4QAA,Dummy Account 467,Prospect,Retail,Cold
001dM000023nnm5QAA,Dummy Account 468,Partner,Finance,Cold
001dM000023nnm6QAA,Dummy Account 469,Prospect,Retail,Warm
001dM000023nnm7QAA,Dummy Account 470,Customer,Technology,Warm
001dM000023nnm8QAA,Dummy Account 471,Prospect,Healthcare,Cold
001dM000023nnm9QAA,Dummy Account 472,Partner,Technology,Warm
001dM000023nnmAQAQ,Dummy Account 473,Prospect,Finance,Cold
001dM000023nnmBQAQ,Dummy Account 474,Partner,Retail,Hot
001dM000023nnmCQAQ,Dummy Account 475,Customer,Healthcare,Cold
001dM000023nnmDQAQ,Dummy Account 476,Customer,Healthcare,Warm
001dM000023nnmEQAQ,Dummy Account 477,Partner,Healthcare,Hot
001dM000023nnmFQAQ,Dummy Account 478,Customer,Retail,Cold
001dM000023nnmGQAQ,Dummy Account 479,Customer,Technology,Hot
001dM000023nnmHQAQ,Dummy Account 480,Prospect,Finance,Warm
001dM000023nnmIQAQ,Dummy Account 481,Prospect,Healthcare,Hot
001dM000023nnmJQAQ,Dummy Account 482,Prospect,Finance,Warm
001dM000023nnmKQAQ,Dummy Account 483,Prospect,Technology,Warm
001dM000023nnmLQAQ,Dummy Account 484,Customer,Finance,Hot
001dM000023nnmMQAQ,Dummy Account 485,Prospect,Technology,Cold
001dM000023nnmNQAQ,Dummy Account 486,Partner,Retail,Hot
